id,title,date,author,link,content,dateRead
1,Пушилин сообщил о попытках ВСУ перебросить технику в Марьинку,"Fri, 20 Jan 2023 18:21:24 +0300",Кристина Есикова,https://lenta.ru/news/2023/01/20/marvsu/,"Вооруженные силы Украины (ВСУ) пытаются перебросить технику в Марьинку, сообщил временно исполняющий обязанности главы Донецкой народной республики (ДНР) Денис Пушилин.",2023-01-20 17:25:03.910670
2,Названы самые популярные форматы жилья для покупки в ипотеку в 2023 году,"Fri, 20 Jan 2023 18:18:23 +0300",Полина Кислицына,https://lenta.ru/news/2023/01/20/ipoteka_zapros/,"Самыми популярными форматами жилья, которые будут приобретать по семейной ипотеке, в 2023 году станут двух- и трехкомнатные квартиры, а также малометражные лоты. По словам девелоперской компании «Мармакс», из-за изменения условий семейной ипотеки предпочтения покупателей также трансформируются.",2023-01-20 17:25:03.911670
3,Перечислены самые бесполезные аксессуары для смартфонов,"Fri, 20 Jan 2023 18:18:01 +0300",Андрей Ставицкий,https://lenta.ru/news/2023/01/20/ne_pokupai/,"Авторы издания SlashGear перечислили самые бесполезные аксессуары для смартфона. В первую очередь журналисты выделили миниатюрные беспроводные принтеры, которые способны печатать компактные фотографии напрямую со смартфона. «Пустой тратой денег» авторы назвали чехлы на телефон со встроенным аккумулятором.",2023-01-20 17:25:03.911670
4,В Сирии убили местного главаря ИГ,"Fri, 20 Jan 2023 18:14:45 +0300",Виктория Кондратьева,https://lenta.ru/news/2023/01/20/isiskilled/,"Сотрудники сил безопасности Сирии провели спецоперацию против террористического подполья в провинции Дераа на юге республики. В результате был убит один из главарей террористической группировки «Исламское государство» (ИГ, запрещена в России) Мухаммад Али аш-Шагури (также известен как Абу Омар аш-Шагури).",2023-01-20 17:25:03.911670
5,Емельяненко высказался о скандальном видео со своим участием,"Fri, 20 Jan 2023 18:10:12 +0300",Ксения Курашкина,https://lenta.ru/news/2023/01/20/emelianenko/,"Боец ММА Александр Емельяненко высказался о попавшем в сеть видео, на котором он запечатлен в состоянии алкогольного опьянения. «Нельзя дружить только с солнечной стороной человека. Учитесь принимать его целостным», — заявил он. Ранее менеджер бойца Никита Бурчак признал, что Емельяненко в момент инцидента был пьян.",2023-01-20 17:25:03.911670
6,В ДНР предрекли оперативное окружение Артемовска,"Fri, 20 Jan 2023 18:10:00 +0300",Алевтина Запольская,https://lenta.ru/news/2023/01/20/okruzhenie/,Ситуация в Артемовске близка к оперативному окружению. Об этом заявил врио главы Донецкой народной республики (ДНР) Денис Пушилин.,2023-01-20 17:25:03.911670
7,Эрдоган провел телефонный разговор с Зеленским,"Fri, 20 Jan 2023 18:10:00 +0300",Анжелика Бережная,https://lenta.ru/news/2023/01/20/erdogan_ze/,"Президент Турции Реджеп Тайип Эрдоган провел телефонный разговор с украинским лидером Владимиром Зеленским и заявил о готовности быть посредником в установлении мира между Россией и Украиной. В ходе беседы политики также обсудили гуманитарную помощь, энергетическую поддержку украинской стороны и зерновую сделку.",2023-01-20 17:25:03.911670
8,«Победа» после решения суда изменит правила провоза ручной клади,"Fri, 20 Jan 2023 18:09:00 +0300",Дарья Рыбак,https://lenta.ru/news/2023/01/20/pobeda/,Авиакомпания «Победа» после решения Верховного суда России о незаконности ее правил провоза ручной клади изменит формулировки требований для пассажиров. Для выполнения судебных предписаний лоукостер уточнит формулировки правил провоза ручной клади: дамской сумки и портфеля.,2023-01-20 17:25:03.912640
9,Стали известны подробности ранения российской журналистки в Соледаре,"Fri, 20 Jan 2023 18:06:00 +0300",Олег Давыдов,https://lenta.ru/news/2023/01/20/readovka_journ/,"Стали известны подробности ранения военной корреспондентки российского интернет-издания Readovka Анастасии Елсуковой. Редакция издания сообщила в своем Telegram-канале, что у журналистки серьезно повреждены колено и бедро. Отмечается, что Елсукова попала под обстрел вместе с группой других корреспондентов.",2023-01-20 17:25:03.912640
10,В Турции ЧВК Эрдогана обвинили в репрессиях,"Fri, 20 Jan 2023 18:03:00 +0300",Глеб Бажуткин,https://lenta.ru/news/2023/01/20/erdoganbabamizmi/,"Представители национально-республиканской партии (НРП) Турции получают угрозы от представителей турецкой частной военной компании (ЧВК) SADAT. «Полувоенная организация SADAT создана в рамках турецких законов с целью совершения преступлений, она является преступной структурой», — заявил замглавы НРП Бюлент Тезджан.",2023-01-20 17:25:03.912640
11,Маск поддержал отказавшегося надеть форму с ЛГБТ-символикой Проворова,"Fri, 20 Jan 2023 18:23:02 +0300",RT на русском,https://russian.rt.com/sport/news/1100087-provorov-filadelfiya-nhl?utm_source=rss&utm_medium=rss&utm_campaign=RSS," Глава американской компании Tesla Илон Маск оставил комментарий с поддержкой российского защитника клуба Национальной хоккейной лиги (НХЛ) «Филадельфия Флайерз» Ивана Проворова, который отказался надеть форму с ЛГБТ-символикой. Читать далее",2023-01-20 17:25:35.925103
12,МВД: более 214 тысяч правонарушений в сфере миграции выявили в Москве в 2022 году,"Fri, 20 Jan 2023 18:22:22 +0300",RT на русском,https://russian.rt.com/russia/news/1100086-narusheniya-migranty-moskva?utm_source=rss&utm_medium=rss&utm_campaign=RSS, Более 214 тыс. административных правонарушений миграционного законодательства выявили в Москве в прошедшем году. Читать далее,2023-01-20 17:25:35.925103
13,Пушилин: освобождение Клещеевки кардинально улучшило позиции российских сил у Соледара,"Fri, 20 Jan 2023 18:12:41 +0300",RT на русском,https://russian.rt.com/ussr/news/1100081-pushilin-uluchshenie-pozicii-klescheevka?utm_source=rss&utm_medium=rss&utm_campaign=RSS,"Временно исполняющий обязанности главы Донецкой Народной Республики Денис Пушилин заявил, что освобождение Клещеевки кардинально улучшило позиции российских сил у Соледара. Читать далее",2023-01-20 17:25:35.925103
14,"Ари: если бы не тюрьма, Кокорин играл бы в «Баварии» или «Манчестер Сити»","Fri, 20 Jan 2023 18:12:28 +0300",RT на русском,https://russian.rt.com/sport/news/1100084-kokorin-aris-futbol?utm_source=rss&utm_medium=rss&utm_campaign=RSS," Бывший нападающий московского «Спартака» и «Краснодара» Ари считает, что форвард «Ариса» Александр Кокорин мог бы проявить себя в лучших европейских клубах. Читать далее",2023-01-20 17:25:35.925103
15,В Татарстане рассказали о реализации национального проекта «Экология»,"Fri, 20 Jan 2023 18:11:42 +0300",RT на русском,https://russian.rt.com/russia/news/1100079-tatarstan-rubl-ekologiya?utm_source=rss&utm_medium=rss&utm_campaign=RSS," С 2023 по 2027 год Татарстан проведёт работы по национальному проекту «Экология» на сумму 8,7 млрд рублей. Читать далее",2023-01-20 17:25:35.925103
16,Генпрокуратура Украины объявила о подозрении в госизмене трём спасателям из Мелитополя,"Fri, 20 Jan 2023 18:09:29 +0300",RT на русском,https://russian.rt.com/ussr/news/1100080-genprokuratura-ukraina-podozrenie-gosizmena?utm_source=rss&utm_medium=rss&utm_campaign=RSS, Генеральная прокуратура Украины предъявила подозрение в госизмене трём спасателям из Мелитополя. Об этом сообщили в пресс-службе ведомства. Читать далее,2023-01-20 17:25:35.925103
17,AFP: глава МИД Габона Адамо умер от сердечного приступа на заседании совета министров,"Fri, 20 Jan 2023 18:07:24 +0300",RT на русском,https://russian.rt.com/world/news/1100075-gabon-glava-mid?utm_source=rss&utm_medium=rss&utm_campaign=RSS, Глава МИД Габона Микаэль Муса Адамо скончался в Либревиле после сердечного приступа во время заседания совета министров. Читать далее,2023-01-20 17:25:35.926108
18,Посол КНР: Россия и Китай непрерывно углубляют взаимное доверие,"Fri, 20 Jan 2023 18:00:37 +0300",RT на русском,https://russian.rt.com/world/news/1100068-posol-kitai-rossiya-otnosheniya?utm_source=rss&utm_medium=rss&utm_campaign=RSS," Посол КНР в России Чжан Ханьхуэй заявил, что Россия и Китай непрерывно углубляют взаимное доверие и тесно координируют позиции по международным вопросам. Читать далее",2023-01-20 17:25:35.926108
19,ЦСКА хочет добиться уменьшения суммы трансфера за Эджуке в «Херенвен»,"Fri, 20 Jan 2023 17:55:57 +0300",RT на русском,https://russian.rt.com/sport/news/1100078-edzhuke-cska-rpl?utm_source=rss&utm_medium=rss&utm_campaign=RSS, Директор по коммуникациям московского ЦСКА Кирилл Брейдо рассказал о ситуации с долгом перед голландским «Херенвеном» за трансфера нападающего Чидера Эджуке. Читать далее,2023-01-20 17:25:35.926108
20,В Энергодаре заявили об опасности разрушения промышленных объектов из-за ударов ВСУ,"Fri, 20 Jan 2023 17:54:37 +0300",RT на русском,https://russian.rt.com/ussr/news/1100077-energodar-opasnost-razrusheniya?utm_source=rss&utm_medium=rss&utm_campaign=RSS," Глава администрации Энергодара Эдуард Сеновоз заявил, что удары Вооружённых сил Украины не носят системного характера, но опасность разрушения промышленных объектов сохраняется. Читать далее",2023-01-20 17:25:35.926108
21,В ДНР предрекли оперативное окружение Артемовска,"Fri, 20 Jan 2023 18:15:12 +0300",Lenta.ru,https://news.rambler.ru/army/50064873-v-dnr-predrekli-operativnoe-okruzhenie-artemovska/,"Ситуация в Артемовске близка к оперативному окружению. Об этом заявил врио главы Донецкой народной республики (ДНР) Денис Пушилин, передает РИА Новости.",2023-01-20 17:25:39.263032
22,В Абакане загорелась жилая многоэтажка,"Fri, 20 Jan 2023 17:55:03 +0300",BFM.RU,https://news.rambler.ru/incidents/50064750-v-abakane-zagorelas-zhilaya-mnogoetazhka/,"Пожар произошел в жилом многоэтажном доме в Абакане. Из здания эвакуировали 87 человек, пять из них — дети, при тушении пострадал один пожарный.",2023-01-20 17:25:39.264036
23,Раскрыт гонорар казненного в Иране британского шпиона,"Fri, 20 Jan 2023 18:14:21 +0300",Lenta.ru,https://news.rambler.ru/world/50064788-raskryt-gonorar-kaznennogo-v-irane-britanskogo-shpiona/,Казненный за шпионаж на британскую разведку MI6 бывший советник экс-министра обороны Ирана Алиреза Акбари получил от правительства Великобритани более двух миллионов евро.,2023-01-20 17:25:39.264036
24,Под Соледаром взят в плен элитный коммандос США Майкл Винтер,"Fri, 20 Jan 2023 18:15:39 +0300",Российская Газета,https://news.rambler.ru/army/50064827-pod-soledarom-vzyat-v-plen-elitnyy-kommandos-ssha-maykl-vinter/,Под Соледаром добровольцы штурмовых отрядов взяли в плен элитного коммандос из отряда морской пехоты США Майкла Винтера. Об этом сообщают в ТГ-канале «Осташко! Важное».,2023-01-20 17:25:39.264036
25,В Рамштайне не смогли согласовать вопрос о танках Украине,"Fri, 20 Jan 2023 17:00:19 +0300",Рамблер,https://news.rambler.ru/army/50064361-v-ramshtayne-ne-smogli-soglasovat-vopros-o-tankah-ukraine/,"Новый министр обороны Германии Борис Писториус заявил, что контактная группа по поддержке Украины членами и союзниками НАТО не смогла достичь единого мнения по вопросу поставок немецких танков Украине.",2023-01-20 17:25:39.264036
26,На Украине назвали сроки принятия законопроекта о запрете УПЦ,"Fri, 20 Jan 2023 17:30:09 +0300",Lenta.ru,https://news.rambler.ru/world/50064515-na-ukraine-nazvali-sroki-prinyatiya-zakonoproekta-o-zaprete-upts/,"Законопроект о запрете Украинской православной церкви (УПЦ) могут принять до конца зимы. Такие сроки назвал депутат Верховной Рады Федор Вениславский, его слова передает ТАСС.",2023-01-20 17:25:39.264036
27,ЦАР попросила увеличить контингент военных инструкторов из России,"Fri, 20 Jan 2023 17:48:33 +0300",Lenta.ru,https://news.rambler.ru/army/50064430-tsar-poprosila-uvelichit-kontingent-voennyh-instruktorov-iz-rossii/,"Центральноафриканская республика (ЦАР) рассчитывает на увеличение контингента военных инструкторов из России, заявил премьер-министр республики Феликс Молуа. Его цитирует РИА Новости.",2023-01-20 17:25:39.265031
28,В Молдавии заподозрили Россию в желании вернуть себе советское пространство,"Fri, 20 Jan 2023 16:55:16 +0300",Lenta.ru,https://news.rambler.ru/world/50064110-v-moldavii-zapodozrili-rossiyu-v-zhelanii-vernut-sebe-sovetskoe-prostranstvo/,"В Молдавии допустили, что Россия хочет вернуть себе советское пространство. Такое мнение высказал председатель партии «Коалиция за единство и благосостояние» Игорь Мунтяну, пишет Point. md.",2023-01-20 17:25:39.265031
29,В Австралии нашли крупнейшую в мире жабу,"Fri, 20 Jan 2023 17:33:36 +0300",Рамблер,https://news.rambler.ru/tech/50064600-v-avstralii-nashli-krupneyshuyu-v-mire-zhabu/,На севере Австралии обнаружили огромную тростниковую жабу весом почти в 3 килограмма. Об этом сообщает местный телеканал ABC.,2023-01-20 17:25:39.265031
30,На Украине собрались судить лишенного гражданства Медведчука,"Fri, 20 Jan 2023 16:58:24 +0300",Lenta.ru,https://news.rambler.ru/world/50063651-na-ukraine-sobralis-sudit-lishennogo-grazhdanstva-medvedchuka/,Председателя политсовета запрещенной на Украине партии «Оппозиционной платформы — За жизнь» (ОПЗЖ) Виктора Медведчука собрались судить по статье о государственной измене. Об этом пишет РИА Новости.,2023-01-20 17:25:39.265031
31,Президент Грузии выступила против открытия прямого авиасообщения с Россией,"Fri, 20 Jan 2023 16:00:10 +0300",,https://news.mail.ru/politics/54737678/,Президент Грузии Саломе Зурабишвили выступила против идеи о возобновлении прямого авиасообщения с Россией и призвала ужесточить правила нахождения граждан РФ на территории страны. Об этом говорится в заявлении на сайте грузинского лидера.,2023-01-20 17:25:41.261526
32,Макрон анонсировал увеличение военного бюджета Франции,"Fri, 20 Jan 2023 15:31:33 +0300",,https://news.mail.ru/politics/54737092/,"Президент Франции Эммануэль Макрон сообщил, что военный бюджет страны будет увеличен на треть, до €400 млрд, в период с 2024 по 2030 год.",2023-01-20 17:25:41.261526
33,Мобилизованных многодетных отцов из Забайкалья вернут домой,"Fri, 20 Jan 2023 14:42:27 +0300",,https://news.mail.ru/politics/54736324/,"Многодетные отцы из Забайкальского края, которые были мобилизованы в рамках частичной мобилизации, вернутся домой. Об этом сообщил губернатор Александр Осипов на своей странице «ВКонтакте».",2023-01-20 17:25:41.261526
34,Путин на Совбезе обсудил ход СВО,"Fri, 20 Jan 2023 14:21:11 +0300",,https://news.mail.ru/politics/54735968/,"Президент России Владимир Путин на заседании Совбеза в пятницу обсудил ход проведения специальной военной операции на Украине. По словам пресс-секретаря главы государства Дмитрия Пескова, на оперативном совещании был заслушан доклад министра обороны Сергея Шойгу о посещении штаба операции.",2023-01-20 17:25:41.261526
35,ВС России освободили населенный пункт Лобковое в Запорожской области,"Fri, 20 Jan 2023 14:09:40 +0300",,https://news.mail.ru/politics/54735653/,"МОСКВА, 20 янв — РИА Новости. Российские военные освободили Лобковое в Запорожской области, на этом направлении потери украинских войск составили до 90 военных, заявили в пятницу в Минобороны РФ.",2023-01-20 17:25:41.261526
36,На базе Рамштайн в Германии началась встреча союзников Украины,"Fri, 20 Jan 2023 13:51:33 +0300",,https://news.mail.ru/politics/54735330/,"На немецкой авиабазе Рамштайн стартовала встреча союзников Украины. Она посвящена усилению военной поддержки Украины, в том числе обсуждению поставок тяжелой техники. На встрече присутствуют делегации более чем из 50 стран.",2023-01-20 17:25:41.261526
37,Пентагон заявил о решающем моменте в конфликте на Украине,"Fri, 20 Jan 2023 12:56:58 +0300",,https://news.mail.ru/politics/54734463/,"Министр обороны США Ллойд Остин заявил, что в конфликте на Украине может наступить решающий для нее момент. Его слова приводит РИА Новости.",2023-01-20 17:25:41.261526
38,"Песков констатировал, что конфликт на Украине развивается по восходящей","Fri, 20 Jan 2023 12:40:43 +0300",,https://news.mail.ru/politics/54734107/,"Вовлечение в него НАТО растет, заявил пресс-секретарь президента РФ.",2023-01-20 17:25:41.262527
39,Песков прокомментировал публикации о продолжении частичной мобилизации,"Fri, 20 Jan 2023 12:37:27 +0300",,https://news.mail.ru/politics/54734033/,"По словам пресс-секретаря президента РФ, в рамках частичной мобилизации обеспечили необходимое число людей.",2023-01-20 17:25:41.262527
40,В ДНР сообщили о взятии села Клещеевка около Артемовска,"Fri, 20 Jan 2023 12:20:02 +0300",,https://news.mail.ru/politics/54733263/,"Село Клещеевка в ДНР полностью перешло под контроль российских войск, сообщил в телеграм-канале штаб территориальной обороны ДНР.",2023-01-20 17:25:41.262527
